r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0.289,0,-0.01,0.01,-0.159482713868494,-0.169482713868494,-0.149482713868494
0.29,0,-0.01,0.01,-0.159510838125214,-0.169510838125214,-0.149510838125214
0.291,0,-0.01,0.01,-0.159538943739702,-0.169538943739702,-0.149538943739702
0.292,0,-0.01,0.01,-0.159567030711957,-0.169567030711957,-0.149567030711957
0.293,0,-0.01,0.01,-0.159595099041978,-0.169595099041978,-0.149595099041978
0.294,0,-0.01,0.01,-0.159623148729766,-0.169623148729766,-0.149623148729766
0.295,0,-0.01,0.01,-0.15965117977532,-0.16965117977532,-0.14965117977532
0.296,0,-0.01,0.01,-0.159679192178642,-0.169679192178642,-0.149679192178642
0.297,0,-0.01,0.01,-0.15970718593973,-0.16970718593973,-0.14970718593973
0.298,0,-0.01,0.01,-0.159735161058585,-0.169735161058585,-0.149735161058585
0.299,0,-0.01,0.01,-0.159763117535206,-0.169763117535206,-0.149763117535206
0.3,0,-0.01,0.01,-0.159791055369595,-0.169791055369595,-0.149791055369595
0.301,0,-0.01,0.01,-0.15981897456175,-0.16981897456175,-0.14981897456175
0.302,0,-0.01,0.01,-0.159846875111671,-0.169846875111671,-0.149846875111671
0.303,0,-0.01,0.01,-0.15987475701936,-0.16987475701936,-0.14987475701936
0.304,0,-0.01,0.01,-0.159902620284815,-0.169902620284815,-0.149902620284815
0.305,0,-0.01,0.01,-0.159930464908037,-0.169930464908037,-0.149930464908037
0.306,0,-0.01,0.01,-0.159958290889026,-0.169958290889026,-0.149958290889026
0.307,0,-0.01,0.01,-0.159986098227782,-0.169986098227782,-0.149986098227782
0.308,0,-0.01,0.01,-0.160013886291917,-0.160113886291917,-0.159913886291917
0.309,0,-0.01,0.01,-0.160041658875753,-0.160141658875753,-0.159941658875753
0.31,0,-0.01,0.01,-0.160069406493489,-0.160169406493489,-0.159969406493489
0.311,0,-0.01,0.01,-0.160097141792858,-0.160197141792858,-0.159997141792858
0.312,0,-0.01,0.01,-0.160124863561161,-0.160224863561161,-0.160024863561161
0.313,0,-0.01,0.01,-0.160152561207449,-0.160252561207449,-0.160052561207449
0.314,0,-0.01,0.01,-0.160180246353849,-0.160280246353849,-0.160080246353849
0.315,0,-0.01,0.01,-0.160207917966372,-0.160307917966372,-0.160107917966372
0.316,0,-0.01,0.01,-0.160235565612451,-0.160335565612451,-0.160135565612451
0.317,0,-0.01,0.01,-0.160263200595073,-0.160363200595073,-0.160163200595073
0.318,0,-0.01,0.01,-0.160290822692758,-0.160390822692758,-0.160190822692758
0.319,0,-0.01,0.01,-0.160318420335859,-0.160418420335859,-0.160218420335859
0.32,0,-0.01,0.01,-0.160346005168467,-0.160446005168467,-0.160246005168467
0.321,0,-0.01,0.01,-0.160373577047131,-0.160473577047131,-0.160273577047131
0.322,0,-0.01,0.01,-0.160401126035296,-0.160501126035296,-0.160301126035296
0.323,0,-0.01,0.01,-0.160428660754002,-0.160528660754002,-0.160328660754002
0.324,0,-0.01,0.01,-0.160456182396196,-0.160556182396196,-0.160356182396196
